Customer ID,Age,Professional experience,Salary,ZIP code,Family size,Average credit cards spend,Education level,Mortgage,Loan,Securities account,Certificate of Deposit account,Online Banking,Credit Card
1,28,4,83000,92612,3.0,800.0,1.0,0.0,0.0,False,False,True,True
2,65,40,49000,90034,3.0,500.0,2.0,0.0,0.0,False,False,True,False
4,30,4,15000,92037,4.0,400.0,1.0,85000.0,0.0,False,False,True,False
5,29,3,40000,92697,0.0,1900.0,3.0,0.0,0.0,False,False,True,False
6,64,40,75000,94588,3.0,2000.0,3.0,0.0,0.0,False,False,True,False
7,45,21,218000,91801,2.0,6666.666666666667,1.0,0.0,0.0,False,False,True,False
8,30,5,13000,90037,4.0,500.0,3.0,0.0,0.0,False,False,False,False
9,51,25,92000,91330,1.0,1900.0,2.0,100000.0,0.0,False,False,False,True
10,55,25,58000,95023,4.0,2000.0,3.0,219000.0,0.0,False,False,False,True
11,24,0,38000,93555,0.0,1000.0,3.0,0.0,0.0,False,False,True,False
12,34,8,85000,95134,1.0,2500.0,1.0,136000.0,0.0,False,False,False,True
13,48,23,43000,93943,3.0,1700.0,2.0,159000.0,0.0,False,False,True,False
14,32,6,78000,95825,1.0,2900.0,3.0,0.0,0.0,False,False,False,False
15,48,23,30000,94720,3.0,1700.0,2.0,162.0,0.0,False,False,True,False
16,27,1,98000,94043,4.0,2300.0,3.0,0.0,0.0,False,False,False,True
17,51,26,72000,95370,1.0,2900.0,1.0,0.0,0.0,False,False,False,False
18,36,10,45000,95126,4.0,200.0,,0.0,0.0,False,False,False,True
19,34,9,195000,90266,2.0,3000.0,1.0,122000.0,0.0,False,False,True,False
21,50,26,92000,90740,1.0,2600.0,2.0,213000.0,0.0,False,False,False,True
22,57,27,63000,90210,4.0,2000.0,3.0,0.0,0.0,False,False,True,False
23,40,15,54000,90266,3.0,800.0,3.0,0.0,0.0,False,False,True,False
24,29,5,31000,95039,1.0,1800.0,2.0,0.0,0.0,False,False,True,True
25,38,11,29000,95207,4.0,1000.0,2.0,0.0,0.0,False,False,True,False
26,59,33,64000,92867,4.0,1700.0,2.0,0.0,0.0,False,False,False,True
28,58,32,41000,93401,3.0,2200.0,3.0,148000.0,0.0,False,False,True,True
29,58,28,73000,90024,1.0,1400.0,3.0,0.0,0.0,True,False,False,False
30,37,13,95000,95821,2.0,1700.0,2.0,0.0,0.0,False,False,False,True
31,45,19,60000,94143,2.0,400.0,3.0,250000.0,0.0,False,False,True,False
32,58,32,41000,93022,4.0,2500.0,1.0,0.0,0.0,False,False,True,True
33,41,16,69000,92697,1.0,100.0,2.0,0.0,0.0,False,False,True,False
34,41,17,34000,91361,1.0,700.0,1.0,143000.0,0.0,False,False,False,False
35,29,5,33000,94709,1.0,1800.0,2.0,78000.0,0.0,False,False,True,False
36,53,27,110000,90245,1.0,4900.0,1.0,0.0,0.0,False,False,True,False
37,32,6,98000,95054,2.0,4500.0,3.0,306000.0,0.0,False,False,False,False
39,39,14,108000,91401,3.0,1200.0,3.0,0.0,0.0,False,False,True,True
40,58,28,81000,91604,1.0,3000.0,3.0,0.0,0.0,False,False,True,False
41,51,27,55000,93014,1.0,1600.0,2.0,197000.0,0.0,True,False,True,False
